Individual_Band,Experiment,Telomere_Sample_nb,sample_id,TRF
240150379,CortDose,T20N035,T_567,9.76
240150379,Carryover,T21N027,T_616,8.29
240150383,CortDose,T20N088,T_568,10.51
240150383,Carryover,T21N082,T_615,
240150396,CortDose,T20N133,T_569,9.49
240150396,Carryover,T21N101,T_617,
240150397,CortDose,T20N134,T_570,7.95
240150397,Carryover,T21N084,T_613,6.87
272107217,CortDose,T20N002,T_571,11.6
272107217,Carryover,T21N023,T_634,11.26
272107361,CortDose,T20N044,T_572,6.73
272107361,Carryover,T21N041,T_622,4.7
272107748,CortDose,T20N012,T_573,
272107748,Carryover,T21N038,T_645,7.43
278171875,CortDose,T20N041,T_574,8.26
278171875,Carryover,T21N073,T_643,
278171877,CortDose,T20N057,T_575,11.08
278171877,Carryover,T21N052,T_626,9.78
278172145,CortDose,T20N017,T_576,10.94
278172145,Carryover,T21N005,T_641,10.3
278172147,CortMovement,T20N080,T_577,8.88
278172147,Carryover,T21N074,T_650,6.43
278172154,CortDose,T20N028,T_578,8.99
278172154,Carryover,T21N044,T_632,
278172163,CortDose,T20N063,T_579,8.67
278172163,Carryover,T21N047,T_640,6.61
278172411,CortMovement,T20N096,T_580,9.08
278172411,Carryover,T21N103,T_649,
281128450,CortDose,T20N059,T_581,8.56
281128450,Carryover,T21N030,T_612,
281128549,CortDose,T20N011,T_582,6.68
281128549,Carryover,T21N059,T_638,5.01
281128550,CortDose,T20N016,T_583,9.36
281128550,Carryover,T21N007,T_636,
281128553,CortDose,T20N032,T_584,9.44
281128553,Carryover,T21N024,T_644,
281128555,CortDose,T20N062,T_585,9.33
281128555,Carryover,T21N050,T_621,
281128558,CortDose,T20N087,T_586,
281128558,Carryover,T21N015,T_618,10.19
281128559,CortDose,T20N086,T_587,10.41
281128559,Carryover,T21N012,T_614,10.48
281128562,CortDose,T20N117,T_588,
281128562,Carryover,T21N072,T_642,9.78
281128598,CortDose,T20N061,T_589,8.68
281128598,Carryover,T21N009,T_628,8.38
281128602,CortDose,T20N082,T_590,7.44
281128602,Carryover,T21N099,T_635,
281128816,CortDose,T20N081,T_591,9
281128816,Carryover,T21N054,T_627,
281174202,CortMovement,T20N018,T_592,11.01
281174202,Carryover,T21N037,T_647,
281174206,CortMovement,T20N069,T_593,
281174206,Carryover,T21N025,T_653,
281174208,CortMovement,T20N078,T_594,
281174208,Carryover,T21N075,T_654,
281174209,CortMovement,T20N085,T_595,8.41
281174209,Carryover,T21N102,T_648,
281174211,CortMovement,T20N106,T_596,
281174211,Carryover,T21N114,T_651,7.87
281174216,CortMovement,T20N142,T_597,9.3
281174216,Carryover,T21N076,T_655,
281174501,CortDose,T20N006,T_598,
281174501,Carryover,T21N042,T_630,8.76
281174502,CortDose,T20N022,T_599,8.65
281174502,Carryover,T21N034,T_623,
281174503,CortDose,T20N023,T_600,8.54
281174503,Carryover,T21N020,T_620,
281174504,CortDose,T20N029,T_601,8.16
281174504,Carryover,T21N056,T_633,7.21
281174506,CortDose,T20N030,T_602,7.44
281174506,Carryover,T21N049,T_652,6.4
281174508,CortDose,T20N058,T_603,10.98
281174508,Carryover,T21N046,T_639,7.93
281174509,CortDose,T20N056,T_604,5.06
281174509,Carryover,T21N067,T_625,
281174510,CortDose,T20N054,T_605,7.94
281174510,Carryover,T21N039,T_646,
281174511,CortDose,T20N076,T_606,7.3
281174511,Carryover,T21N071,T_631,6
281174513,CortDose,T20N077,T_607,6.21
281174513,Carryover,T21N069,T_629,5.85
281174518,CortDose,T20N102,T_608,7.66
281174518,Carryover,T21N058,T_637,7.82
281174525,CortDose,T20N164,T_609,8.22
281174525,Carryover,T21N066,T_624,
281174902,CortMovement,T20N048,T_610,8.06
281174902,Carryover,T21N019,T_619,6.95
281174904,CortMovement,T20N098,T_611,8.87
281174904,Carryover,T21N077,T_656,7.79